Tank;Type;Tier;Battles;Avg Battles;Damage;Kills;WR
T-34;Medium;T5;37577437;131;315;0.61;50.10%
Premium T14;Heavy;T5;6265943;124;451;0.96;51.46%
Premium Type; Medium;T8;31048488;872;1120;0.95;52.23%
Vickers Mk.l;Medium;T1;5792683;13;90;0.72;49.45%
Kolohousenka ;Light;T1;1494294;5;117;0.9;50.64%
Strv fm/21;Light;T1;1264089;4;118;0.85;50.50%
Premium Pude;Medium;T6;3025574;96;682;0.85;52.64%
Fiat 3000;Light;T1;582177;3;119;0.92;49.79%
SU-85;TD;T5;25277191;104;395;0.77;49.82%
Hummel;SPG;T6;33803399;177;725;0.83;48.85%
M3 Stuart;Light;T3;7459419;25;120;0.47;49.39%
Premium Type ;Light;T7;7877110;257;669;0.68;51.19%
D2;Medium;T3;3699270;17;126;0.52;49.65%
Vickers Medium;Medium;T2;2950595;11;89;0.48;47.56%
Chi-Ni;Medium;T2;1473515;8;103;0.6;48.73%
LT vz. 35;Light;T2;1370383;6;123;0.64;49.75%
Strv m/38;Light;T2;1053275;6;126;0.68;49.49%
Premium TKS z;Light;T2;1247076;7;111;0.56;49.70%
L6/40;Light;T2;207346;5;144;0.78;50.91%
IS;Heavy;T7;74515035;242;786;0.75;49.49%
Tiger I;Heavy;T7;62646290;288;828;0.73;49.23%
T1 Cunningham;Light;T1;16832172;36;117;0.9;51.18%
Premium Type;Medium;T8;20946;44;1572;1.18;55.17%
Renault FT;Light;T1;2837704;7;75;0.55;48.67%
M2;Light;T2;1124532;12;132;0.76;50.73%
Renault Otsu;Light;T1;2307792;6;102;0.81;50.00%
LT vz. 38;Light;T3;3665879;17;141;0.47;49.33%
Strv m/40L;Light;T3;2290119;13;161;0.58;49.90%
M14/41;Medium;T2;509584;5;164;0.9;51.57%
BT-7;Light;T3;8637045;37;97;0.36;47.70%
Pz.Kpfw. 35 (t);Light;T2;7800980;24;125;0.71;49.67%
M6;Heavy;T6;26173390;156;594;0.71;49.29%
Premium WZ-1;Heavy;T8;12170495;387;1306;0.99;52.69%
Renault FT 75 BSPG;Heavy;T2;1903771;10;131;0.82;50.88%
Matilda;Medium;T4;21005682;88;332;0.85;52.49%
Type 95 Ha-Go;Light;T2;862590;8;123;0.68;49.08%
ST vz. 39;Medium;T4;5145082;28;209;0.53;49.53%
Lago;Medium;T4;4598820;28;232;0.59;49.93%
Premium 50TP;Heavy;T8;3422673;82;1306;0.83;52.59%
M15/42;Medium;T3;1459185;11;215;0.8;50.53%
BT-2;Light;T2;8160270;32;136;0.78;50.49%
StuG III Ausf. GTD;Light;T5;44260578;156;402;0.78;49.41%
M4A1 Sherman;Medium;T5;24146635;128;415;0.84;51.82%
T-34-1;Medium;T7;8645484;139;813;0.81;51.60%
B1;Heavy;T4;7727503;39;193;0.58;48.30%
Cromwell;Medium;T6;60707111;269;589;0.84;51.62%
Type 5 Chi-Ri;Medium;T7;9228427;124;827;0.81;49.70%
Škoda T 24;Medium;T5;9823801;59;357;0.6;49.33%
Strv m/42;Medium;T5;6162307;47;375;0.66;49.92%
4TP;Light;T1;563957;3;108;0.82;50.08%
P26/40;Medium;T4;2958148;23;282;0.73;50.73%
Panther;Medium;T7;20103251;166;743;0.72;50.56%
M4A3E8 Sherm;Medium;T6;9545042;132;509;0.71;50.87%
Renault NC-31;Light;T1;2334800;7;109;0.83;49.43%
Hotchkiss H35;Light;T2;2826388;12;143;0.84;51.65%
Stuart I-IV;Light;T3;977195;12;141;0.54;49.80%
Type 3 Chi-Un;Medium;T5;8652716;65;353;0.65;49.72%
Škoda T 25;Medium;T6;17699723;116;619;0.78;50.45%
Strv 74;Medium;T6;8982448;77;623;0.76;50.47%
7TP;Light;T2;579284;5;149;0.77;50.53%
P.43;Medium;T5;3737560;35;363;0.66;50.59%
T-28;Medium;T4;29787678;76;197;0.51;49.37%
Jagdpanzer IV;TD;T6;29147282;135;503;0.7;48.14%
T20;Medium;T7;12318863;121;814;0.81;52.05%
T-34-2;Medium;T8;6646203;168;902;0.71;48.89%
D1;Light;T2;1650411;7;80;0.47;47.48%
Grant;Medium;T4;1565655;24;228;0.6;49.57%
Type 1 Chi-He ;Medium;T4;4718395;36;226;0.59;50.03%
Konštrukta T-3;Medium;T7;12796281;110;822;0.79;50.40%
Leo;Medium;T7;9909125;108;830;0.8;50.93%
10TP;Light;T3;1080990;10;150;0.53;49.10%
P.43 bis;Medium;T6;5195315;58;621;0.81;50.94%
S-51;SPG;T7;15484723;175;951;0.78;49.85%
Jagdpanzer 38 TD;Heavy;T4;36834855;113;268;0.86;50.26%
M2 Light Tank;Light;T2;10423335;34;179;1.08;52.79%
WZ-120;Medium;T9;10485516;221;1361;0.85;49.86%
Type 4 Chi-To;Medium;T6;9048407;93;621;0.8;49.58%
TVP VTU Konce;Medium;T8;10301229;126;956;0.69;48.87%
Emil I;Heavy;T8;10303268;139;1319;0.94;52.17%
14TP;Light;T4;2031631;20;162;0.4;49.22%
P.43 ter;Medium;T7;4752759;74;859;0.86;51.65%
A-20;Light;T4;12174095;57;109;0.28;48.27%
Pz.Kpfw. II;Light;T2;12621200;35;151;0.88;51.27%
T1 HMC;SPG;T2;4795136;17;118;0.66;49.17%
WZ-111 model;Heavy;T9;17011189;228;1705;0.93;52.02%
Premium 105 lSPG;Heavy;T5;10968704;150;669;1.35;54.51%
Crusader;Medium;T5;17845228;73;254;0.51;48.63%
Type 97 Chi-Ha;Medium;T3;2834566;18;175;0.68;50.37%
Škoda T 50;Medium;T9;15630935;223;1822;1.15;52.41%
Emil II;Heavy;T9;7385703;152;1694;1.01;52.38%
25TP KSUST II;Medium;T5;2707640;34;338;0.57;49.90%
P.44 Pantera;Medium;T8;5741109;103;1155;0.84;50.50%
SU-152;TD;T7;26790667;172;803;0.83;49.55%
VK 36.01 (H);Heavy;T6;42192974;199;530;0.7;49.53%
Vickers Mk. E;TLight;T2;2974406;11;125;0.7;49.67%
